# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
3.300000000000000266e+00,-1.401296513567181989e+00,-2.366185412148729683e-01,-2.479978902679904618e+00,7.345477822465785733e-01,2.718490495211771107e-01,-1.481219654863297208e+00,-6.345506268707480635e-02,1.696392414059599563e-01,1.399974560968925141e+00,2.366185412148729683e-01,5.295489235573409559e-01,-4.590923639041116083e-02
3.350000000000000089e+00,-1.385962283703415121e+00,-3.103529575100996696e-01,-2.482482735355731496e+00,7.429721376359020857e-01,3.413488062330928829e-01,-1.467542517872901131e+00,-3.656174416183531617e-02,1.673305864704541790e-01,1.379415009698748085e+00,3.103529575100996696e-01,5.459276692487926574e-01,-4.643575860224388036e-02
3.400000000000000355e+00,-1.367180260017988980e+00,-3.833116530402475020e-01,-2.483622076895479314e+00,7.512804051402927064e-01,4.097310569446239725e-01,-1.450197288869191414e+00,-8.888537445717992203e-03,1.649957864712455202e-01,1.355286164906952751e+00,3.833116530402475020e-01,5.607320675154493506e-01,-4.695502532126829415e-02
3.450000000000000178e+00,-1.345010748826597435e+00,-4.553122690626439928e-01,-2.483359931295450185e+00,7.594712866098561888e-01,4.768191928149711489e-01,-1.429227321891457070e+00,1.948402162447876451e-02,1.626352062160838219e-01,1.327663837013435710e+00,4.553122690626439928e-01,5.738901705454899638e-01,-4.746695541311601180e-02
3.500000000000000000e+00,-1.319522788206637376e+00,-5.261748415344297269e-01,-2.481663417273514138e+00,7.675435022360270754e-01,5.424406300515882684e-01,-1.404685030936194456e+00,4.847192067971178853e-02,1.602492145408312696e-01,1.296633176188628722e+00,5.261748415344297269e-01,5.853349091110965352e-01,-4.797146888975169221e-02
3.550000000000000266e+00,-1.290793935176122620e+00,-5.957222509289402668e-01,-2.478503935888406673e+00,7.754957907515367399e-01,6.064272704839208661e-01,-1.376631758949413697e+00,7.798792126186160356e-02,1.578381842518328804e-01,1.262288411571989011e+00,5.957222509289402668e-01,5.950043506263069659e-01,-4.846848692197104624e-02
3.600000000000000089e+00,-1.258910030180374839e+00,-6.637806649422787197e-01,-2.473857325320643508e+00,7.833269096274834142e-01,6.686159484703705358e-01,-1.345137624501220541e+00,1.079418217873331642e-01,1.554024920676660981e-01,1.224732565521104544e+00,6.637806649422787197e-01,6.028419417615110687e-01,-4.895793185171771339e-02
3.650000000000000355e+00,-1.223964939600692192e+00,-7.301799729835496411e-01,-2.467704002208679803e+00,7.910356352674752234e-01,7.288488629113807349e-01,-1.310281346525906443e+00,1.382407322375790726e-01,1.529425185602792669e-01,1.184077143757169548e+00,7.301799729835496411e-01,6.087967347688691966e-01,-4.943972720421720146e-02
3.700000000000000178e+00,-1.186060277059437507e+00,-7.947542113627401594e-01,-2.460029088974685862e+00,7.986207631988142541e-01,7.869739931865092908e-01,-1.272150047565612008e+00,1.687893597419662939e-01,1.504586480955281413e-01,1.140441802340449895e+00,7.947542113627401594e-01,6.128235967222408487e-01,-4.991379769992589088e-02
3.750000000000000000e+00,-1.145305104353897319e+00,-8.573419781135156459e-01,-2.450822526616974084e+00,8.060811082606930134e-01,8.428454978817042642e-01,-1.230839036009341081e+00,1.994903041798824495e-01,1.479512687731193710e-01,1.093953992474381742e+00,8.573419781135156459e-01,6.148834009271452183e-01,-5.038006926629331333e-02
