# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid
3.800000000000000266e+00,7.334323199999934761e-01,0.000000000000000000e+00,-8.667161599999967381e-01,1.152072794208648610e+00,-1.045094400000027957e+00,0.000000000000000000e+00,5.225472000000139783e-01,-1.641630444673963130e+00
3.850000000000000089e+00,6.791441334907832861e-01,0.000000000000000000e+00,-8.395720667453916430e-01,1.066797110251624936e+00,-1.123408363451418035e+00,0.000000000000000000e+00,5.617041817257090175e-01,-1.764645730800157075e+00
3.900000000000000355e+00,6.214209454492087836e-01,0.000000000000000000e+00,-8.107104727246043918e-01,9.761257385050280400e-01,-1.181983371679724115e+00,0.000000000000000000e+00,5.909916858398620576e-01,-1.856655138567162799e+00
3.950000000000000178e+00,5.613188202517199743e-01,0.000000000000000000e+00,-7.806594101258599316e-01,8.817175410122464196e-01,-1.218210128221933308e+00,0.000000000000000000e+00,6.091050641109666541e-01,-1.913559994675358311e+00
4.000000000000000000e+00,4.999999999999862332e-01,0.000000000000000000e+00,-7.499999999999931166e-01,7.853981633974260745e-01,-1.230468750000042633e+00,0.000000000000000000e+00,6.152343750000213163e-01,-1.932815792735983251e+00
4.049999999999999822e+00,4.386811797482529363e-01,0.000000000000000000e+00,-7.193405898741265236e-01,6.890787857826039531e-01,-1.218210128221943966e+00,0.000000000000000000e+00,6.091050641109719832e-01,-1.913559994675372744e+00
4.100000000000000533e+00,3.785790545507625726e-01,0.000000000000000000e+00,-6.892895272753812863e-01,5.946705882898205564e-01,-1.181983371679733441e+00,0.000000000000000000e+00,5.909916858398667205e-01,-1.856655138567178120e+00
4.150000000000000355e+00,3.208558665091872930e-01,0.000000000000000000e+00,-6.604279332545937020e-01,5.039992165432245486e-01,-1.123408363451437353e+00,0.000000000000000000e+00,5.617041817257186764e-01,-1.764645730800181500e+00
4.200000000000000178e+00,2.665676799999772140e-01,0.000000000000000000e+00,-6.332838399999886070e-01,4.187235325861959900e-01,-1.045094400000040169e+00,0.000000000000000000e+00,5.225472000000200845e-01,-1.641630444673999545e+00
4.250000000000000000e+00,2.166180163621658217e-01,0.000000000000000000e+00,-6.083090081810829108e-01,3.402627844192811502e-01,-9.505078196525920120e-01,0.000000000000000000e+00,4.752539098262960060e-01,-1.493054191700144084e+00
4.299999999999999822e+00,1.717192855273138585e-01,0.000000000000000000e+00,-5.858596427636568738e-01,2.697360229461478465e-01,-8.437934654297222226e-01,0.000000000000000000e+00,4.218967327148611113e-01,-1.325427676070566996e+00
4.350000000000000533e+00,1.323641613750563550e-01,0.000000000000000000e+00,-5.661820806875281775e-01,2.079171384872084971e-01,-7.295567651848297031e-01,0.000000000000000000e+00,3.647783825924148515e-01,-1.145985086940732867e+00
4.400000000000000355e+00,9.880865999997101579e-02,0.000000000000000000e+00,-5.494043299999855634e-01,1.552082801834591130e-01,-6.126151500000222017e-01,0.000000000000000000e+00,3.063075750000111008e-01,-9.622936273589862699e-01
4.450000000000000178e+00,7.106819557862031900e-02,0.000000000000000000e+00,-5.355340977893101595e-01,1.116336605668177828e-01,-4.977294697746759145e-01,0.000000000000000000e+00,2.488647348873379572e-01,-7.818316228596586814e-01
4.500000000000000000e+00,4.892730712886916855e-02,0.000000000000000000e+00,-5.244636535644345843e-01,7.685483431797379694e-02,-3.893280029297234712e-01,0.000000000000000000e+00,1.946640014648617356e-01,-6.115549969204090441e-01
4.549999999999999822e+00,3.196307115792129672e-02,0.000000000000000000e+00,-5.159815355789606484e-01,5.020747476791154185e-02,-2.912375951408543995e-01,0.000000000000000000e+00,1.456187975704271997e-01,-4.574749446719112989e-01
4.600000000000000533e+00,1.958143999995043405e-02,0.000000000000000000e+00,-5.097907199999751615e-01,3.075845402526633521e-02,-2.064384000000313857e-01,0.000000000000000000e+00,1.032192000000156928e-01,-3.242726804295326670e-01
4.650000000000000355e+00,1.106487354994578620e-02,0.000000000000000000e+00,-5.055324367749729486e-01,1.738066272869964735e-02,-1.368606324943863750e-01,0.000000000000000000e+00,6.843031624719318751e-02,-2.149801788049987838e-01
4.700000000000000178e+00,5.628663105424758228e-03,0.000000000000000000e+00,-5.028143315527123791e-01,8.841483330744415170e-03,-8.324368417961441891e-02,0.000000000000000000e+00,4.162184208980720945e-02,-1.307588733384387469e-01
4.750000000000000000e+00,2.482280135125636278e-03,0.000000000000000000e+00,-5.012411400675628181e-01,3.899156518251789549e-03,-4.507988691329956055e-02,0.000000000000000000e+00,2.253994345664978027e-02,-7.081132077576633710e-02
4.800000000000000711e+00,8.909199999350692067e-04,0.000000000000000000e+00,-5.004454599999674791e-01,1.399453863363708805e-03,-2.066714999995886148e-02,0.000000000000000000e+00,1.033357499997943074e-02,-3.246388330546373657e-02
4.850000000000000533e+00,2.311509597853200759e-04,0.000000000000000000e+00,-5.001155754798927155e-01,3.630910785104024541e-04,-7.296633592907834226e-03,0.000000000000000000e+00,3.648316796453917113e-03,-1.146152524601113699e-02
4.900000000000000355e+00,3.322220696899691461e-05,0.000000000000000000e+00,-5.000166111034844985e-01,5.218532063588909864e-05,-1.603559179597495356e-03,0.000000000000000000e+00,8.017795897987476782e-04,-2.518864869453563832e-03
4.950000000000000178e+00,1.131177754465362284e-06,0.000000000000000000e+00,-5.000005655888772882e-01,1.776849741341735012e-06,-1.111959709072962466e-04,0.000000000000000000e+00,5.559798545364812329e-05,-1.746662231563912314e-04
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.050000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.150000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.350000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.450000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.550000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.650000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.850000000000000533e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.950000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
